Order ID,Order Date,Region,Category,Product,Customer ID,Quantity,Unit Price,Discount,Sales,Profit,Salesperson
ORD-1001,2025-02-02,West,Office Supplies,Stapler,CUST-027,4.0,280,0.05,1064.0,426.84,Sara
ORD-1002,2025-09-26,North,Home & Kitchen,Table Lamp,CUST-010,4.0,1250,0.05,4750.0,1642.74,Sara
ORD-1003,2025-10-13,South,Accessories,Cable Pack,CUST-045,4.0,420,0.0,1680.0,519.26,Aarav
ORD-1004,2025-11-10,West,Home & Kitchen,Table Lamp,CUST-023,2.0,1250,0.0,2500.0,564.65,Sara
ORD-1005,2025-09-05,South,Electronics,Bluetooth Speaker,CUST-038,3.0,2200,0.0,6600.0,2568.34,Rohan
ORD-1006,2025-12-03,South,Accessories,Cable Pack,CUST-040,3.0,420,0.0,1260.0,410.87,Diya
ORD-1007,2025-06-18,North,Office Supplies,Notebook,CUST-009,3.0,180,0.05,513.0,170.61,Rohan
ORD-1008,2025-08-18, north ,Office Supplies,Pen Set,CUST-045,6.0,150,0.1,810.0,277.43,Diya
ORD-1009,2025-03-29,North,Electronics,USB-C Hub,CUST-040,6.0,1450,0.0,8700.0,2284.75,Meera
ORD-1010,2025-06-22,South,Home & Kitchen,Storage Box,CUST-013,4.0,720,0.05,2736.0,1072.62,Aarav
ORD-1011,2025-06-10,East,Office Supplies,Pen Set,CUST-029,6.0,150,0.1,810.0,237.38,Meera
ORD-1012,2025-02-03,North,Office Supplies,Pen Set,CUST-014,5.0,150,0.05,712.5,268.67,Kabir
ORD-1013,2025-12-29,North,Electronics,Bluetooth Speaker,CUST-022,6.0,2200,0.0,13200.0,4768.91,Meera
ORD-1014,2025-02-16,East,Home & Kitchen,Storage Box,CUST-017,7.0,720,0.05,4788.0,1231.45,Diya
ORD-1015,2025-05-03,East,Electronics,Wireless Mouse,CUST-046,6.0,650,0.05,3705.0,1436.6,Meera
ORD-1016,2025-12-09,South,Home & Kitchen,Water Bottle,CUST-035,4.0,450,0.0,1800.0,647.46,Meera
ORD-1017,2025-08-10,North,Electronics,Keyboard,CUST-025,3.0,950,0.15,2422.5,577.24,Rohan
ORD-1018,2025-06-16,West,Accessories,Phone Stand,CUST-037,2.0,550,0.1,990.0,326.83,Diya
ORD-1019,2025-01-29,South,Accessories,Backpack,CUST-041,1.0,1100,0.0,1100.0,394.69,Meera
ORD-1020,2025-07-19,West,Accessories,Backpack,CUST-016,1.0,1100,0.1,990.0,330.25,Meera
ORD-1021,2025-02-21,North,Home & Kitchen,Storage Box,CUST-009,5.0,720,0.05,3420.0,1407.94,Kabir
ORD-1022,2025-03-10,North,Electronics,Keyboard,CUST-015,5.0,950,0.05,4512.5,1741.29,Sara
ORD-1023,2025-12-28,East,office supplies ,Pen Set,CUST-021,5.0,150,0.0,750.0,171.22,Kabir
ORD-1024,2025-06-20,South,Electronics,Bluetooth Speaker,CUST-009,2.0,2200,0.05,4180.0,971.58,Meera
ORD-1025,2025-07-17,South,Electronics,Keyboard,CUST-015,7.0,950,0.05,6317.5,2098.79,Aarav
ORD-1026,2025-05-13,North,Accessories,Laptop Sleeve,CUST-034,4.0,900,0.05,3420.0,1362.13,Rohan
ORD-1027,2025-02-13,East,Home & Kitchen,Coffee Mug,CUST-031,6.0,380,0.1,2052.0,817.62,Sara
