Order ID,Order Date,Region,Category,Product,Customer ID,Quantity,Unit Price,Discount,Sales,Profit,Salesperson,Month,Month Number,Profit Margin
ORD-1001,2025-02-02,West,Office Supplies,Stapler,CUST-027,4.0,280,0.05,1064.0,426.84,Sara,Feb,2,0.40116541353383456
ORD-1002,2025-09-26,North,Home & Kitchen,Table Lamp,CUST-010,4.0,1250,0.05,4750.0,1642.74,Sara,Sep,9,0.34584
ORD-1003,2025-10-13,South,Accessories,Cable Pack,CUST-045,4.0,420,0.0,1680.0,519.26,Aarav,Oct,10,0.3090833333333333
ORD-1004,2025-11-10,West,Home & Kitchen,Table Lamp,CUST-023,2.0,1250,0.0,2500.0,564.65,Sara,Nov,11,0.22585999999999998
ORD-1005,2025-09-05,South,Electronics,Bluetooth Speaker,CUST-038,3.0,2200,0.0,6600.0,2568.34,Rohan,Sep,9,0.3891424242424243
ORD-1006,2025-12-03,South,Accessories,Cable Pack,CUST-040,3.0,420,0.0,1260.0,410.87,Diya,Dec,12,0.3260873015873016
ORD-1007,2025-06-18,North,Office Supplies,Notebook,CUST-009,3.0,180,0.05,513.0,170.61,Rohan,Jun,6,0.3325730994152047
ORD-1008,2025-08-18,North,Office Supplies,Pen Set,CUST-045,6.0,150,0.1,810.0,277.43,Diya,Aug,8,0.3425061728395062
ORD-1009,2025-03-29,North,Electronics,USB-C Hub,CUST-040,6.0,1450,0.0,8700.0,2284.75,Meera,Mar,3,0.26261494252873563
ORD-1010,2025-06-22,South,Home & Kitchen,Storage Box,CUST-013,4.0,720,0.05,2736.0,1072.62,Aarav,Jun,6,0.3920394736842105
ORD-1011,2025-06-10,East,Office Supplies,Pen Set,CUST-029,6.0,150,0.1,810.0,237.38,Meera,Jun,6,0.2930617283950617
ORD-1012,2025-02-03,North,Office Supplies,Pen Set,CUST-014,5.0,150,0.05,712.5,268.67,Kabir,Feb,2,0.37708070175438596
ORD-1013,2025-12-29,North,Electronics,Bluetooth Speaker,CUST-022,6.0,2200,0.0,13200.0,4768.91,Meera,Dec,12,0.3612810606060606
ORD-1014,2025-02-16,East,Home & Kitchen,Storage Box,CUST-017,7.0,720,0.05,4788.0,1231.45,Diya,Feb,2,0.2571950710108605
ORD-1015,2025-05-03,East,Electronics,Wireless Mouse,CUST-046,6.0,650,0.05,3705.0,1436.6,Meera,May,5,0.38774628879892037
ORD-1016,2025-12-09,South,Home & Kitchen,Water Bottle,CUST-035,4.0,450,0.0,1800.0,647.46,Meera,Dec,12,0.3597
ORD-1017,2025-08-10,North,Electronics,Keyboard,CUST-025,3.0,950,0.15,2422.5,577.24,Rohan,Aug,8,0.2382827657378741
ORD-1018,2025-06-16,West,Accessories,Phone Stand,CUST-037,2.0,550,0.1,990.0,326.83,Diya,Jun,6,0.3301313131313131
