cohort,cohort_size,0,1,2,3,4,5,6,7,8,9,10,11
2010-12,883,100.0,36.58,32.28,38.39,36.24,39.86,36.24,34.88,35.33,39.52,37.37,50.28
2011-01,414,100.0,21.74,26.81,22.95,31.88,28.99,24.88,24.15,29.71,32.85,36.71,
2011-02,380,100.0,18.68,18.68,28.68,27.11,24.47,25.53,27.37,24.74,30.53,,
2011-03,452,100.0,14.82,25.22,19.91,22.35,16.81,26.77,23.01,27.88,,,
2011-04,299,100.0,21.07,20.4,21.07,19.73,22.74,21.74,26.09,,,,
2011-05,283,100.0,19.08,17.31,17.31,20.85,23.32,26.5,,,,,
2011-06,242,100.0,17.36,15.7,26.45,23.14,33.06,,,,,,
2011-07,186,100.0,17.74,20.43,22.58,27.42,,,,,,,
2011-08,169,100.0,20.12,24.26,24.26,,,,,,,,
2011-09,296,100.0,23.65,30.41,,,,,,,,,
2011-10,354,100.0,23.73,,,,,,,,,,
2011-11,322,100.0,,,,,,,,,,,
