Country,gross_revenue,orders,customers,units,returns_value,net_revenue,aov,revenue_per_customer,share_of_net_pct,top_customer_share_pct
United Kingdom,8725129.48,17901,3916,4639144,443053.31,8282076.17,487.41,2114.93,84.75,3.59
Netherlands,283889.34,93,9,200258,409.8,283479.54,3052.57,31497.73,2.9,98.33
EIRE,270850.86,282,3,146896,11470.84,259380.02,960.46,86460.01,2.65,52.98
Germany,205381.15,443,94,118032,4761.49,200619.66,463.61,2134.25,2.05,8.47
France,184493.0,382,87,111226,2416.4,182076.6,482.97,2092.83,1.86,10.2
Australia,138103.81,56,9,83890,1181.31,136922.5,2466.14,15213.61,1.4,90.2
Switzerland,53065.6,50,21,30515,582.55,52483.05,1061.31,2499.19,0.54,21.11
Spain,55706.56,88,30,27724,3959.91,51746.65,633.03,1724.89,0.53,21.53
Belgium,36927.34,98,25,22962,264.38,36662.96,376.81,1466.52,0.38,12.83
Japan,37416.37,19,8,26016,1996.58,35419.79,1969.28,4427.47,0.36,57.27
Sweden,36828.83,34,8,36037,1662.42,35166.41,1083.2,4395.8,0.36,86.3
Norway,32454.64,32,10,19276,161.68,32292.96,1014.21,3229.3,0.33,41.21
Portugal,26951.11,50,19,16126,143.64,26807.47,539.02,1410.92,0.27,24.24
Channel Islands,19997.54,25,9,9481,71.15,19926.39,799.9,2214.04,0.2,40.69
Finland,18344.88,40,12,10608,41.34,18303.54,458.62,1525.3,0.19,34.92
Denmark,18211.34,18,9,8193,169.2,18042.14,1011.74,2004.68,0.18,42.99
Italy,15820.24,35,14,8067,543.9,15276.34,452.01,1091.17,0.16,20.28
Cyprus,13167.16,14,8,6338,323.4,12843.76,940.51,1605.47,0.13,47.92
Hong Kong,9744.19,7,0,4708,10.95,9733.24,1392.03,,0.1,
Singapore,9120.39,4,1,5234,0.0,9120.39,2280.1,9120.39,0.09,100.0
Austria,8742.68,17,11,4844,44.36,8698.32,514.28,790.76,0.09,26.33
Israel,8129.41,8,3,4406,227.44,7901.97,1016.18,2633.99,0.08,67.54
Poland,6974.65,19,6,3675,121.51,6853.14,367.09,1142.19,0.07,57.08
Unspecified,4740.94,13,4,3295,0.0,4740.94,364.69,1185.23,0.05,39.03
Greece,4425.52,5,4,1550,0.0,4425.52,885.1,1106.38,0.05,60.13
Iceland,4310.0,7,1,2458,0.0,4310.0,615.71,4310.0,0.04,100.0
Canada,3115.44,5,4,2762,0.0,3115.44,623.09,778.86,0.03,76.69
Malta,2070.59,5,2,958,90.12,1980.47,414.12,990.24,0.02,56.27
United Arab Emirates,1864.78,2,2,981,0.0,1864.78,932.39,932.39,0.02,52.31
USA,3580.39,5,4,2458,1849.47,1730.92,716.08,432.73,0.02,44.12
Lebanon,1693.88,1,1,386,0.0,1693.88,1693.88,1693.88,0.02,100.0
Lithuania,1661.06,4,1,652,0.0,1661.06,415.26,1661.06,0.02,100.0
European Community,1159.25,3,1,490,8.5,1150.75,386.42,1150.75,0.01,100.0
Brazil,1143.6,1,1,356,0.0,1143.6,1143.6,1143.6,0.01,100.0
RSA,1002.31,1,1,351,0.0,1002.31,1002.31,1002.31,0.01,100.0
Czech Republic,786.74,2,1,670,115.02,671.72,393.37,671.72,0.01,100.0
Bahrain,754.14,3,2,314,205.74,548.4,251.38,274.2,0.01,83.77
Saudi Arabia,145.92,1,1,80,14.75,131.17,145.92,131.17,0.0,100.0
