CustomerID,first_order,last_order,orders,units,gross_revenue,country,distinct_products,returns_value,net_revenue,aov,recency_days,tenure_days,first_order_month,in_rfm,R,F,M,segment
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,74215,77183.6,United Kingdom,1,77183.6,0.0,77183.6,326,0,2011-01,False,,,,
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,2458,4310.0,Iceland,103,0.0,4310.0,615.71,3,365,2010-12,True,5.0,5.0,5.0,Champions
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,2332,1437.24,Finland,21,0.0,1437.24,359.31,76,283,2010-12,True,2.0,4.0,4.0,At Risk
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,630,1457.55,Italy,72,0.0,1457.55,1457.55,19,0,2011-11,True,4.0,1.0,4.0,Promising
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,196,294.4,Norway,16,0.0,294.4,294.4,311,0,2011-02,True,1.0,1.0,2.0,Hibernating
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,7,526,1385.74,Norway,57,120.33,1265.41,197.96,37,260,2011-02,True,3.0,5.0,4.0,Loyal Customers
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,20,89.0,Bahrain,4,0.0,89.0,89.0,205,0,2011-05,True,1.0,1.0,1.0,Hibernating
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,1079.4,Spain,58,0.0,1079.4,1079.4,233,0,2011-04,True,1.0,1.0,4.0,Hibernating
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,240,459.4,Bahrain,13,0.0,459.4,459.4,215,0,2011-05,True,1.0,1.0,2.0,Hibernating
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,1573,2487.43,Portugal,52,0.0,2487.43,829.14,23,303,2011-01,True,4.0,3.0,5.0,Potential Loyalists
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,2708,6207.67,Switzerland,131,0.0,6207.67,6207.67,34,0,2011-11,True,3.0,1.0,5.0,About to Sleep
