month,gross_revenue,orders,active_customers,units,returns_value,reversal_value,net_revenue,return_rate_pct,return_rate_adj_pct,aov,is_partial_month,net_revenue_mom_pct
2010-12,775714.95,1550,884,357531,17547.86,3684.21,758167.09,2.26,1.8,500.46,False,
2011-01,670439.46,1081,739,386741,91525.05,79495.96,578914.41,13.65,2.04,620.2,False,-23.64
2011-02,507866.54,1093,757,282630,8335.52,167.8,499531.02,1.64,1.61,464.65,False,-13.71
2011-03,689841.84,1440,973,376183,10504.3,2750.13,679337.54,1.52,1.13,479.06,False,36.0
2011-04,515469.66,1235,853,307655,33316.06,1702.53,482153.6,6.46,6.15,417.38,False,-29.03
2011-05,740036.33,1668,1054,394657,8948.23,186.68,731088.1,1.21,1.18,443.67,False,51.63
2011-06,737683.99,1525,990,388129,13713.84,2095.47,723970.15,1.86,1.58,483.73,False,-0.97
2011-07,688252.67,1452,946,399291,11407.26,1464.49,676845.41,1.66,1.45,474.0,False,-6.51
2011-08,724308.16,1339,933,420701,22926.57,4547.12,701381.59,3.17,2.55,540.93,False,3.63
2011-09,1028345.38,1818,1259,568701,16980.64,4542.42,1011364.74,1.65,1.21,565.65,False,44.2
2011-10,1103330.92,2005,1361,619598,41613.03,13357.32,1061717.89,3.77,2.59,550.29,False,4.98
2011-11,1452115.98,2751,1660,746952,24991.44,9799.05,1427124.54,1.72,1.05,527.85,False,34.42
2011-12,614499.25,816,614,312648,174091.36,169007.66,440407.89,28.33,1.14,753.06,True,
