Description,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11
REGENCY CAKESTAND 3 TIER,27694.76,12800.6,11009.49,18359.25,14812.95,12645.97,9732.64,13936.11,10521.3,9619.53,13255.74,13774.08
WHITE HANGING HEART T-LIGHT HOLDER,11234.22,15258.55,5140.11,5597.9,10017.79,11415.32,4707.33,8621.23,5733.28,7111.41,4836.34,14356.22
PARTY BUNTING,1207.74,2283.71,4347.9,9123.02,10778.47,19118.05,12556.12,14576.5,9694.85,6383.15,3716.48,4740.76
JUMBO BAG RED RETROSPOT,4019.15,5047.65,5617.24,10118.38,4878.08,7122.73,7247.98,6253.87,10622.56,8880.17,10485.81,11639.29
RABBIT NIGHT LIGHT,0.0,0.0,0.0,0.0,0.0,2277.49,3326.87,668.59,3533.57,699.78,12256.87,34478.4
PAPER CHAIN KIT 50'S CHRISTMAS,9208.1,143.32,24.95,232.01,41.08,65.19,910.88,1077.93,1329.04,5997.25,10022.54,28955.54
ASSORTED COLOUR BIRD ORNAMENT,3972.35,2880.03,2736.35,4302.7,4174.24,5052.12,2627.64,3115.97,9868.73,4993.52,4659.44,8381.79
CHILLI LIGHTS,7506.44,5891.23,3616.25,3087.3,357.5,2296.75,2310.29,4289.24,2260.33,3677.39,4678.13,11485.77
PICNIC BASKET WICKER SMALL,1120.86,1311.64,1157.16,1942.02,1679.43,2905.65,40618.9,438.66,196.75,37.7,0.0,0.0
POPCORN HOLDER,2629.94,1495.48,2125.3,3032.81,1495.57,5144.83,1706.91,1540.0,4133.35,3607.13,4810.55,14188.8
