StockCode,description,gross_revenue,units,orders,customers,returns_value,returns_units,reversal_value,net_revenue,return_rate_pct,return_rate_adj_pct,avg_unit_price,cum_share_pct,rank
22423,REGENCY CAKESTAND 3 TIER,174156.54,13851,1988,881,9697.05,855.0,1331.4,164459.49,5.57,4.84,12.57,1.68,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,106415.23,37933,2265,856,6624.3,2578.0,1310.4,99790.93,6.22,5.06,2.81,2.7,2
47566,PARTY BUNTING,99445.23,18283,1685,708,1201.35,277.0,19.8,98243.88,1.21,1.19,5.44,3.71,3
85099B,JUMBO BAG RED RETROSPOT,94159.81,48371,2089,635,1984.02,1115.0,1297.68,92175.79,2.11,0.74,1.95,4.65,4
23084,RABBIT NIGHT LIGHT,66870.03,30739,994,450,208.4,108.0,12.48,66661.63,0.31,0.29,2.18,5.33,5
22086,PAPER CHAIN KIT 50'S CHRISTMAS,64875.59,19329,1160,613,1160.35,453.0,836.65,63715.24,1.79,0.51,3.36,5.99,6
84879,ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455,678,135.2,80.0,21.97,58792.42,0.23,0.19,1.62,6.59,7
79321,CHILLI LIGHTS,54096.36,10302,661,205,349.7,80.0,329.0,53746.66,0.65,0.04,5.25,7.14,8
22502,PICNIC BASKET WICKER SMALL,51408.77,1937,463,175,385.25,75.0,297.0,51023.52,0.75,0.17,26.54,7.66,9
22197,POPCORN HOLDER,51334.47,56898,1392,407,366.55,471.0,152.5,50967.92,0.71,0.42,0.9,8.18,10
23298,SPOTTY BUNTING,43148.18,8466,1146,573,482.81,110.0,4.15,42665.37,1.12,1.11,5.1,8.62,11
22386,JUMBO BAG PINK POLKADOT,42401.01,21448,1218,372,816.58,456.0,745.0,41584.43,1.93,0.17,1.98,9.04,12
23203,JUMBO BAG VINTAGE DOILY,42030.34,20485,1231,505,1076.4,590.0,595.68,40953.94,2.56,1.16,2.05,9.46,13
21137,BLACK RECORD COVER FRAME,40633.38,11651,375,140,55.17,15.0,15.0,40578.21,0.14,0.1,3.49,9.88,14
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385,640,730.1,154.0,9.9,37378.79,1.92,1.89,5.09,10.26,15
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728,378,1601.25,225.0,1503.3,36532.39,4.2,0.27,6.95,10.63,16
22960,JAM MAKING SET WITH JARS,37082.13,8695,1132,573,1012.79,247.0,25.5,36069.34,2.73,2.66,4.26,11.0,17
