segment,customers,net_revenue,avg_recency_days,avg_orders,avg_net_revenue,median_aov,pct_customers,pct_net_revenue
Champions,601,4155827.63,6.38,12.83,6914.85,326.58,13.91,50.25
Loyal Customers,684,2070009.27,33.08,7.1,3026.33,321.53,15.83,25.03
Potential Loyalists,479,400631.42,16.76,2.42,836.39,269.48,11.09,4.84
New Customers,66,22305.21,7.71,1.0,337.96,234.92,1.53,0.27
Promising,167,50929.69,23.77,1.0,304.97,223.88,3.87,0.62
Need Attention,120,124550.47,50.22,3.0,1037.92,266.97,2.78,1.51
About to Sleep,475,242568.63,52.65,1.38,510.67,295.46,11.0,2.93
At Risk,328,442764.98,135.25,3.58,1349.89,272.43,7.59,5.35
Can't Lose Them,64,171744.8,132.02,8.31,2683.51,273.48,1.48,2.08
Hibernating,1336,588305.22,209.03,1.28,440.35,257.99,30.93,7.11
