StockCode,description,revenue_12m,autumn_share_pct
22086,PAPER CHAIN KIT 50'S CHRISTMAS,58007.83,77.53
23084,RABBIT NIGHT LIGHT,57241.57,82.87
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,30083.23,73.98
22114,HOT WATER BOTTLE TEA AND SYMPATHY,29238.64,70.69
23355,HOT WATER BOTTLE KEEP CALM,24744.12,97.6
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,23729.9,66.56
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23121.24,60.5
23344,JUMBO BAG 50'S CHRISTMAS,21527.12,89.67
22865,HAND WARMER OWL DESIGN,16032.12,82.2
23301,GARDENERS KNEELING PAD KEEP CALM,14676.43,64.46
23313,VINTAGE CHRISTMAS BUNTING,14045.21,87.52
20971,PINK BLUE FELT CRAFT TRINKET BOX,13369.94,64.59
22866,HAND WARMER SCOTTY DOG DESIGN,13142.62,81.81
22867,HAND WARMER BIRD DESIGN,12516.01,69.6
23356,LOVE HOT WATER BOTTLE,12426.2,98.23
23343,JUMBO BAG VINTAGE CHRISTMAS,12263.32,88.66
22941,CHRISTMAS LIGHTS 10 REINDEER,12135.99,86.73
22273,FELTCRAFT DOLL MOLLY,11789.85,64.64
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,11747.02,82.32
22158,3 HEARTS HANGING DECORATION RUSTIC,11416.54,75.07
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,10325.8,86.59
23581,JUMBO BAG PAISLEY PARK,10188.06,100.0
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,10092.31,85.4
22633,HAND WARMER UNION JACK,9079.14,74.41
22952,60 CAKE CASES VINTAGE CHRISTMAS,9015.36,78.63
22144,CHRISTMAS CRAFT LITTLE FRIENDS,8977.11,79.54
22947,WOODEN ADVENT CALENDAR RED,8714.24,91.25
23319,BOX OF 6 MINI 50'S CRACKERS,8699.44,91.98
35970,ZINC FOLKART SLEIGH BELLS,8680.91,87.15
23322,LARGE WHITE HEART OF WICKER,8648.66,65.64
23318,BOX OF 6 MINI VINTAGE CRACKERS,8547.66,88.86
22632,HAND WARMER RED RETROSPOT,8418.56,73.29
23321,SMALL WHITE HEART OF WICKER,8143.21,66.18
23439,HAND WARMER RED LOVE HEART,7852.27,99.65
23534,WALL ART STOP FOR TEA,7775.66,100.0
23493,VINTAGE DOILY TRAVEL SEWING KIT,7558.48,100.0
22940,FELTCRAFT CHRISTMAS FAIRY,7523.72,60.89
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,7408.32,76.47
22950,36 DOILIES VINTAGE CHRISTMAS,7131.55,64.74
22946,WOODEN ADVENT CALENDAR CREAM,6929.47,63.57
23080,RED METAL BOX TOP SECRET,6737.75,68.56
23541,WALL ART CLASSIC PUDDINGS,6699.21,100.0
23215,JINGLE BELL HEART ANTIQUE SILVER,6662.22,75.38
23083,SET 6 PAPER TABLE LANTERN STARS,6629.0,79.37
23535,WALL ART BICYCLE SAFETY,6585.05,100.0
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6550.46,68.07
23320,GIANT 50'S CHRISTMAS CRACKER,6532.23,86.61
23103,JINGLE BELL HEART DECORATION,6503.06,67.43
22580,ADVENT CALENDAR GINGHAM SACK,6441.74,89.48
22508,DOORSTOP RETROSPOT HEART,6409.83,65.93
23582,VINTAGE DOILY JUMBO BAG RED,6354.13,100.0
21787,RAIN PONCHO RETROSPOT,6328.53,66.39
23247,BISCUIT TIN 50'S CHRISTMAS,6290.94,84.01
23109,PACK OF SIX LED TEA LIGHTS,6188.46,60.64
23229,VINTAGE DONKEY TAIL GAME,6136.23,60.68
22141,CHRISTMAS CRAFT TREE TOP ANGEL,6068.43,80.07
23571,TRADITIONAL NAUGHTS & CROSSES,5994.61,100.0
23188,VINTAGE  2 METER FOLDING RULER,5957.98,75.88
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,5889.38,100.0
23113,PANTRY CHOPPING BOARD,5806.43,100.0
23311,VINTAGE CHRISTMAS STOCKING,5784.17,91.85
23480,MINI LIGHTS WOODLAND MUSHROOMS,5744.98,100.0
22595,GINGHAM HEART DECORATION,5633.08,61.57
23485,BOTANICAL GARDENS WALL CLOCK,5585.72,100.0
23312,VINTAGE CHRISTMAS GIFT SACK,5437.21,81.5
23133,LARGE IVORY HEART WALL ORGANISER,5396.89,65.16
22689,DOORMAT MERRY CHRISTMAS RED,5176.25,80.7
23157,SET OF 6 NATIVITY MAGNETS,5138.93,78.72
23526,WALL ART DOG LICENCE,5082.21,100.0
23132,SMALL IVORY HEART WALL ORGANISER,5073.43,68.65
