InvoiceNo,return_value,customer,date,reversal_lines,lines
C581484,168469.6,16446,2011-12-09 09:27:00,1,1
C541433,77183.6,12346,2011-01-18 10:17:00,1,1
C550456,22998.4,15749,2011-04-18 13:08:00,0,5
C570556,9466.56,16029,2011-10-11 11:10:00,0,9
C562375,4345.1,14911,2011-08-04 14:46:00,31,31
C565044,3969.93,12931,2011-08-31 17:02:00,0,7
C567527,3825.36,17450,2011-09-21 09:16:00,1,1
C571499,3528.34,12454,2011-10-17 15:07:00,0,15
C564940,3491.02,12931,2011-08-31 13:10:00,0,9
C572343,2949.28,14607,2011-10-24 10:40:00,9,9
