StockCode,description,gross_revenue,returns_value,reversal_value,return_rate_adj_pct
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18056.28,6591.42,37.8,36.37
22273,FELTCRAFT DOLL MOLLY,12001.59,3512.65,0.0,29.27
47566B,TEA TIME PARTY BUNTING,12926.42,3692.95,187.5,27.52
22191,IVORY DINER WALL CLOCK,11911.65,2653.7,0.0,22.28
48185,DOORMAT FAIRY CAKE,23872.91,4554.9,0.0,19.08
22838,3 TIER CAKE TIN RED AND CREAM,9765.11,1671.6,0.0,17.12
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,20650.66,3443.62,78.96,16.36
21877,HOME SWEET HOME MUG,6932.78,1134.32,0.0,16.36
22991,GIRAFFE WOODEN RULER,7604.89,1185.9,11.7,15.46
22655,VINTAGE RED KITCHEN CABINET,8125.0,1730.5,640.5,14.56
