StockCode,description,gross_revenue,returns_value,reversal_value,return_rate_adj_pct,genuine_returns
22423,REGENCY CAKESTAND 3 TIER,174156.54,9697.05,1331.4,4.84,8365.65
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18056.28,6591.42,37.8,36.37,6553.62
85123A,WHITE HANGING HEART T-LIGHT HOLDER,106415.23,6624.3,1310.4,5.06,5313.9
48185,DOORMAT FAIRY CAKE,23872.91,4554.9,0.0,19.08,4554.9
21175,GIN + TONIC DIET METAL SIGN,27029.97,3775.33,30.6,13.87,3744.73
22273,FELTCRAFT DOLL MOLLY,12001.59,3512.65,0.0,29.27,3512.65
47566B,TEA TIME PARTY BUNTING,12926.42,3692.95,187.5,27.52,3505.45
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,20650.66,3443.62,78.96,16.36,3364.66
22191,IVORY DINER WALL CLOCK,11911.65,2653.7,0.0,22.28,2653.7
22838,3 TIER CAKE TIN RED AND CREAM,9765.11,1671.6,0.0,17.12,1671.6
